name,description
ping,Teste la réactivité du bot
info,Info sur le bot
help,Affiche toutes les commandes disponibles
language,Change la langue du bot
list,Liste toutes les commandes personnalisées
create,Crée une nouvelle commande personnalisée
modif*,Modifie le nom et/ou la réponse d'une commande personnalisée
delete*,Supprime une commande personnalisée existante
warn,Met un warn à un utilisateur
warns,Voir warns utilisateur
unwarn,Supprime un warn d'un utilisateur
report,Signale un groupe de message au staff
logs,Affiche les derniers logs du bot
reboot,Redémarre le bot
upgrade,Met à jour le bot depuis Git
ephemeral,Active ou désactive les messages éphémères
update,met a jour le depot git du bot